,country_code,Country Name,year,disbursement_amount,cancer,air_pollution_death,alchol_abuse,basic_sanitation,drinking_water,hand_wash,fuel_tech,crude_suicide,tuberculosis,NTDs,doctors,poisoning,unsafe_wash,tobacco,UHC_coverage,life_expectancy,UHC_data_access,population
0,AFG,Afghanistan,2015,26063,29.8,208.1,0.21,40.71,52.39,37.59,29,4.8,189,13765392,2.85,1.92,13.92,35.2,34,62.35,0.49,34413603
1,AFG,Afghanistan,2016,432348,31.8,211.1,0.21,42.05,54.84,37.67,31,5.8,189,13275429,2.78,1.89,13.92,39.2,33,62.35,0.49,35383128
2,AGO,Angola,2015,1110667,16.9,117.5,7.96,47.37,26.71,26.38,48,5,366,18534219,0.21,3.72,48.81,42.7,37,64.5,0.31,27884381
3,AGO,Angola,2016,2013706,17.5,118.5,7.96,48.63,27.08,26.52,48,5.7,362,14419092,0.21,3.39,48.81,45.7,32,64.5,0.31,28842484
4,ALB,Albania,2015,1179583,17.4,105.7,6.74,97.69,89.88,45.94,76,6,17,16,12.16,0.48,0.17,29.9,58,79.69,0.31,2880703
5,ALB,Albania,2016,1119825,17,104.7,6.74,97.7,89.88,45.94,77,5.8,17,21,12.16,0.5,0.17,29.7,58,79.69,0.31,2876101
6,ARM,Armenia,2015,1113798,23,80.51,5.84,93.06,99.6,92.72,95,7,50,39044,29.14,0.95,0.18,27.9,66,77.83,0.44,2925553
7,ARM,Armenia,2016,1417373,22.3,80.55,5.84,93.41,100,93.38,95,7.2,44,39149,29.14,0.91,0.18,27.5,67,77.83,0.44,2936146
8,AZE,Azerbaijan,2015,381757,22.5,120.5,4.58,92.46,79.28,83.24,95,2.7,71,1699962,3.7,0.83,1.1,20.7,77,73.43,0.33,9649341
9,BEN,Benin,2015,2044908,19.7,205,2.97,16.01,57.87,10.29,5,9.9,60,7029345,0.48,4.4,59.73,8.3,40,64.25,0.41,10575952
10,BEN,Benin,2016,2023889,19.6,204.6,2.97,16.35,58.22,10.98,5,9.6,59,6938376,0.48,4.3,59.73,7.8,41,64.25,0.41,10872067
11,BFA,Burkina Faso,2015,2552050,21.9,206.2,11.83,18.83,37.09,11.22,8,7.7,52,11658638,0.66,3.45,49.64,17.4,38,63.45,0.44,18110624
12,BFA,Burkina Faso,2016,2955425,21.7,206.9,11.83,19.13,36.05,11.55,9,7.9,51,12492287,0.65,3.35,49.64,16.9,35,63.45,0.44,18646378
13,BGD,Bangladesh,2015,54209,20.7,206.2,0.021,45.74,96.43,34.41,18,6.1,221,49839493,4.86,0.38,11.94,40.7,46,74.79,0.53,156256276
14,BGD,Bangladesh,2016,45128,21.6,149,0.021,47.01,96.56,34.61,20,5.9,221,47484224,4.97,0.35,11.94,40.1,48,74.79,0.53,157970840
15,BLZ,Belize,2015,1241768,22.4,149,6.74,87.21,95.65,87.03,83,4.8,25,7300,0.2,0.69,0.97,38.9,66,77.29,0.36,360933
16,BLZ,Belize,2016,1275130,22.1,68.59,6.74,87.53,96.43,88.56,83,4.9,37,7312,0.2,0.67,0.97,38.9,64,77.29,0.36,368400
17,BRA,Brazil,2015,136717,17,31,7.86,86.55,87,45.94,95,6.5,43,11067291,2.18,0.25,1.5,18.5,78,78.64,0.43,204471769
18,BRA,Brazil,2016,760109,16.6,31,7.86,87.43,87.87,45.94,95,7.5,43,10461013,2.08,0.23,1.05,17.8,71,78.64,0.43,206163058
19,BRB,Barbados,2016,3326141,16.2,57.05,4.89,96.86,98.48,88.47,95,0.6,1.2,1433,2.48,0.23,0.16,8.8,71,78.64,0.37,285796
20,BWA,Botswana,2015,1681863,20.7,101.3,6.86,74.76,71.89,45.94,55,11.7,356,257169,5.27,1.22,0.2,24.6,61,63.93,0.36,2120716
21,BWA,Botswana,2016,13511946,20.3,101.3,6.86,76.02,73.71,45.94,54,9.3,326,261950,0.52,1.15,11.77,24.3,49,60.99,0.36,2159944
22,CMR,Cameroon,2015,2770113,21.8,208.1,6.17,38.86,39.05,9.26,23,12.3,212,20630132,1.1,4.19,39.15,9.4,43,60.99,0.34,23298368
23,CMR,Cameroon,2016,6359998,21.6,208.1,6.17,38.85,39.01,9.33,24,14.3,203,19389766,1.1,4,45.15,9.4,32,81.01,0.34,23926539
24,COL,Colombia,2015,1965537,15.9,208.1,5.78,87.55,84.64,65.13,90,8.3,31,3846506,19.74,0.54,0.55,8.9,76,81.01,0.54,47520667
25,COL,Colombia,2016,2010621,15.8,208.1,5.78,88.59,85.55,65.26,91,0.1,33,3761361,20.34,0.54,0.75,8.6,72,81.01,0.54,48171392
26,COM,Comoros,2015,854068,23,36.96,0.88,35.82,76.91,15.57,6,6.8,35,525978,2.82,2.86,48.74,21.8,49,67.84,0.21,777424
27,COM,Comoros,2016,1150106,22.9,172.4,0.88,35.83,76.91,15.57,7,7.8,35,527919,2.72,2.79,50.74,20.9,38,67.84,0.21,795592
28,CRI,Costa Rica,2015,2122547,11.6,26.9,4.76,97.27,98.8,83.84,94,7.9,11,18569,13.79,0.45,0.86,10.8,76,83.47,0.47,4847804
29,CRI,Costa Rica,2016,2198222,11.5,26.9,4.76,97.55,99.53,84.84,94,0.1,9.4,24462,13.76,0.45,0.86,10.5,76,83.47,0.47,4899345
30,DOM,Dominican Republic,2015,2267998,19.1,42.96,6.61,83.18,89.36,54.9,88,9.7,55,989731,1.56,0.4,1.21,10.5,74,75.2,0.51,10281680
31,DOM,Dominican Republic,2016,4752996,19,43.96,6.61,83.54,90.04,55.04,88,15.7,51,970832,1.56,0.4,2.21,10.1,68,75.2,0.51,10397743
32,ECU,Ecuador,2015,2924583,13.4,24.5,4.98,86.1,81.88,80.61,94,9.6,39,1943932,20.65,0.89,24,38,76,79.5,0.46,16212020
33,ECU,Ecuador,2016,3528200,13,24.5,4.98,87.18,100,80.62,94,9.9,40,1942753,20.37,0.81,0.64,43,71,79.5,0.46,16491115
34,EGY,Egypt,2015,473663,28.2,108.9,0.4,93.97,98.57,88.34,95,3.8,15,1640557,8.22,0.26,0.5,21.3,65,72.89,0.5,100400000
35,EGY,Egypt,2016,1087393,27.7,109.9,0.4,94.08,98.69,89.83,95,7.9,14,1673826,8.21,0.28,2,21.3,55,72.89,0.5,100400000
36,ETH,Ethiopia,2015,3057219,18.4,144.4,2.19,6.86,29.11,7.79,5,7.2,192,75106161,0.46,3.68,33.66,4.9,39,68.64,0.49,100835458
37,ETH,Ethiopia,2016,11565882,18.3,144.4,2.19,7.09,30.11,7.87,5,15.2,177,74204513,0.07,3.56,43.66,4.8,28,68.64,0.49,103603501
38,FJI,Fiji,2015,1436091,30.8,86,3.33,94.54,88.84,45.94,29,5,52,898821,8.6,0.7,2.59,27.4,64,70.08,0.29,868627
39,FJI,Fiji,2016,1679820,30.6,99.04,3.33,95.07,88.7,45.94,29,9.4,45,905113,8.6,0.69,2.89,27.1,64,70.08,0.29,872399
40,GAB,Gabon,2016,114457,14.4,76.04,4.89,47.37,55.05,45.94,86,7.2,533,694499,3.56,1.08,20.58,14.7,70,68.08,0.26,2007873
41,GEO,Georgia,2015,2597317,24.9,184,9.61,90.49,95.26,45.94,75,8.1,99,65,50.06,1.21,0.18,30.4,66,76.93,0.5,3725276
42,GEO,Georgia,2016,2594302,24.7,184,9.61,90.25,95.71,45.94,77,8.1,92,412310,59.97,1.2,0.18,30.1,66,76.93,0.5,3727505
43,GHA,Ghana,2015,2608148,20.9,203.8,3.12,17.15,66.04,40.94,23,5.3,160,15536903,1.27,1.99,18.84,4,46,67.41,0.56,27849205
44,GHA,Ghana,2016,3415142,20.8,203.8,3.12,17.81,66.79,40.99,24,5.5,156,15536910,1.27,2,18.84,3.9,46,67.41,0.56,28481946
45,GIN,Guinea,2015,1486181,22.6,243.3,1.07,21.06,49.72,17.36,5,6.4,177,7973039,0.86,3.94,44.63,11.4,34,60.07,0.34,11432088
46,GIN,Guinea,2016,1383477,22.4,243.3,1.07,21.89,49.24,17.4,5,6.1,176,7246135,0.83,3.78,44.63,13.7,34,60.07,0.34,11738441
47,GMB,Gambia,2015,1131787,20.6,237,3.67,39.01,63.37,7.72,5,5.2,173,171850,1.02,2.42,29.66,15.3,45,66.28,0.34,2086000
48,GMB,Gambia,2016,1261806,20.4,237,3.67,39.12,63.37,7.8,5,5.2,170,177144,1.02,2.33,29.66,15,45,66.28,0.34,2149000
49,GTM,Guatemala,2015,3279669,14.9,73.79,2.55,64.98,88.97,76.57,45,3.1,26,3321447,36.1,1.53,6.3,25.9,57,74.01,0.39,16252429
50,GTM,Guatemala,2016,6444142,16.9,73.79,2.55,65.02,89.66,76.62,45,8.1,24,3265661,31.1,1.38,6.3,38.39,57,74.01,0.39,16583060
51,GUY,Guyana,2015,2167514,30.6,107.8,7.35,85.35,100,77.16,71,29.1,93,747901,0.8,0.73,3.65,13.8,70,69.22,0.36,767432
52,GUY,Guyana,2016,2740966,30.5,107.8,7.35,85.76,100,77.16,73,0.4,94,720459,0.81,0.74,3.65,13.2,70,74.01,0.36,771366
53,HND,Honduras,2016,3043,14,60.66,0.2,80.24,88.09,84.17,53,2.1,39,2752416,5.98,0.59,3.62,3,53,74.01,0.47,9270795
54,HTI,Haiti,2016,4548037,27.5,184.3,4.89,33.6,42.53,23.15,5,2.1,188,7581135,35,2.98,23.79,8.6,35,65,0.37,10839970
55,IDN,Indonesia,2015,2197328,26.5,112.4,0.6,69.38,80.16,63.98,67,3.4,325,111000000,2.74,0.63,7.06,38.2,53,72.5,0.53,258383256
56,IDN,Indonesia,2016,2400802,26.4,112.4,0.6,71.25,81.07,64.09,72,3.4,322,102000000,2.78,0.62,7.06,38.1,53,72.5,0.53,261554226
57,IND,India,2015,1162243,23.5,184.3,5.54,54.35,88.9,59.3,43,16.5,217,668000000,8.59,2.95,18.8,29.6,52,70.62,0.43,1310152403
58,IND,India,2016,2789892,23.3,184.3,5.54,56.94,89.95,59.42,45,0.5,211,631000000,7.59,2.82,18.58,28.8,52,70.62,0.43,1324509589
59,IRQ,Iraq,2015,33979,21.6,120.2,0.37,90.74,86.56,93.39,95,3.1,43,2107072,0.708,0.62,3,22.9,61,73.41,0.39,35572261
60,JAM,Jamaica,2015,1055237,14.8,32.76,4.19,86.95,84.4,66.42,85,2.1,4.5,343044,4.15,0.24,0.6,12,62,77.71,0.39,2891021
61,JAM,Jamaica,2016,1309794,14.7,31.76,4.19,87.32,84.61,67.42,85,2.1,4.4,347536,4.55,0.25,0.61,11.6,62,77.71,0.39,2906238
62,JOR,Jordan,2015,1374942,19.4,51.2,0.69,97.53,97.78,45.94,95,2.9,5.7,70,28.08,0.77,0.63,9.8,76,78.77,0.44,9266575
63,JOR,Jordan,2016,5470,19.2,50.2,0.69,97.43,97.74,45.94,95,1.9,5.4,126,13.95,0.77,0.63,2.6,76,78.77,0.44,9551467
64,KAZ,Kazakhstan,2015,1038311,28.6,62.68,4.66,97.74,89.76,99,95,24.9,81,25,3.98,3.72,0.38,25.7,74,76.22,0.4,17542806
65,KAZ,Kazakhstan,2016,2782368,26.8,92.68,4.66,97.81,91.03,99,95,26.9,73,185,3.78,3.32,0.38,25.3,74,76.22,0.4,17794055
66,KEN,Kenya,2015,1154454,13.3,78.07,2.77,29.55,48.18,24.56,9,3.1,380,13642040,0.166,2.55,51.15,12.7,54,66.62,0.46,47878336
67,KEN,Kenya,2016,14407784,13.4,192.07,2.77,29.3,48.9,24.61,9,8.1,348,11770703,0.157,2.49,51.15,12.4,54,76.22,0.46,49051686
